Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Oreo CheeseQuake Blizzard (Large),496,1080,43,21,1,125,820,152,1,115,21
Reese Peanut Butter Cups Blizzard Mini,195,360,14,7,0.4,35,190,53,0.5,46,9
Reese Peanut Butter Cups Blizzard (Small),298,590,23,12,0.5,50,310,83,1,73,14
Reese Peanut Butter Cups Blizzard (Medium),372,760,31,15,1,65,410,107,2,94,18
Reese Peanut Butter Cups Blizzard (Large),500,1020,42,20,1,85,550,144,3,126,24
Rolo Blizzard Mini,197,380,13,9,0.4,40,170,59,0,49,8
Rolo Blizzard (Small),312,650,23,17,0.5,60,280,98,0.5,82,12
Rolo Blizzard (Medium),425,990,37,28,1,85,420,148,1,122,16
Rolo Blizzard (Large),553,1350,52,40,1,115,570,202,2,165,21
Skor Blizzard Mini,195,390,15,9,0.5,35,200,56,0,49,7
Skor Blizzard (Small),290,610,25,15,0.5,55,320,87,0.5,77,11
Skor Blizzard (Medium),400,880,37,22,1,75,470,124,1,110,15
Skor Blizzard (Large),529,1180,49,30,1,100,630,165,1,147,20
Smarties Blizzard Mini,202,380,12,7,0.4,40,200,61,1,52,8
Smarties Blizzard (Small),334,660,21,12,0.5,70,350,106,2,90,13
Smarties Blizzard (Medium),414,850,28,16,1,90,470,135,3,113,16
Smarties Blizzard (Large),562,1160,37,21,1,125,640,187,4,157,22
Strawberry CheeseQuake Blizzard Mini,195,330,11,7,0.4,45,170,49,0,42,7
Strawberry CheeseQuake Blizzard (Small),305,530,18,11,0.5,75,270,78,0,66,12
Strawberry CheeseQuake Blizzard (Medium),400,700,24,15,0.5,95,360,104,0.5,89,15
Strawberry CheeseQuake Blizzard (Large),535,930,32,19,1,130,480,140,1,119,20
Turtle Pecan Cluster Blizzard Mini,198,410,18,10,0.4,40,190,55,1,46,8
Turtle Pecan Cluster Blizzard (Small),322,680,30,15,0.5,65,330,92,2,76,13
Turtle Pecan Cluster Blizzard (Medium),415,960,47,25,1,80,450,123,3,100,16
Turtle Pecan Cluster Blizzard (Large),569,1330,66,36,1,110,610,168,4,138,22
Banana Slices,0,25,0,0,0,0,0,7,0.5,4,0
Caramel Topping,28,90,0.5,0.5,0,15,85,21,0,15,0.5
Cheesecake Pieces,28,100,6,3.5,0,25,80,10,0,6,2
Brownie Pieces,28,120,6,2.5,0,20,140,17,1,10,2
Choco Chunks,28,150,10,9,0.1,0,2,17,1,14,1
Cookie Dough Pieces,28,130,6,3,0,5,95,19,0,10,1
Chocolate Topping,28,70,0.2,0,0,0,35,18,0.5,16,0
Cocoa Fudge,28,140,10,2,0,0,75,16,2,12,1
Coconut Flakes,28,170,13,12,0,0,65,13,3,9,1
CrispyCrunch Pieces,28,130,5,2,0,0,75,20,0.5,17,1
Kit Kat Pieces,28,150,8,4.5,0,3,25,18,0,14,2
Hot Fudge Topping,28,100,3.5,3.5,0.1,0,45,15,0,11,0
Oreo Cookie Pieces,28,140,6,1.5,0,0,190,20,1,11,1
Peanuts,28,160,14,2,0,0,115,5,2,0,8
Pecan Pieces,28,200,21,2,0,0,110,4,3,1,3
Reese Peanut Butter Cups Pieces,28,140,9,3,0,0,100,16,1,14,3
Rolo Pieces,28,140,8,7,0,5,35,17,0,13,1
